bowler,phase,runs,balls,wickets,economy,bowling_sr,econ_bayes,impact_score,last_year
Shoaib Malik,middle,54,36,1,9.0,36.0,7.77612791867611,0.5272547009100677,2008
Sikandar Raza,middle,107,72,3,8.916666666666668,24.0,7.918672468966973,4.659871985438207,2024
Simarjeet Singh,middle,124,78,5,9.538461538461538,15.6,8.118262085033633,12.625855007682391,2025
Suyash Sharma,middle,900,624,20,8.653846153846153,31.2,8.391069046659563,195.4458950201196,2026
Swapnil Singh,middle,177,120,2,8.850000000000001,60.0,8.045350949886291,2.038444326686804,2024
T Natarajan,middle,679,502,13,8.115537848605577,38.61538461538461,7.9573680763474615,87.07652999734685,2026
T Shamsi,middle,143,102,2,8.411764705882351,51.0,7.846079290283439,2.090215940120528,2021
T Stubbs,middle,63,30,3,12.600000000000001,10.0,8.223491329840806,4.4871452428118905,2025
T Thushara,middle,20,30,1,4.0,30.0,7.07682466317414,0.5793558827782295,2010
TA Boult,middle,545,378,17,8.650793650793652,22.235294117647058,8.27624005098461,143.16887773923793,2026
TG Southee,middle,278,222,11,7.513513513513514,20.181818181818183,7.53066078948245,65.87735311260711,2023
TK Curran,middle,127,85,5,8.964705882352941,17.0,7.979591247193506,12.845269491222393,2021
TL Suman,middle,143,120,5,7.15,24.0,7.397731902267243,13.85559808792016,2013
TM Dilshan,middle,272,204,4,8.0,51.0,7.780164283744816,8.431698561566213,2013
TM Head,middle,86,40,0,12.899999999999999,999.0,8.460789571124176,0.0,2024
TP Sudhindra,middle,45,24,1,11.25,24.0,7.955641777233705,0.5153575430875711,2012
TS Mills,middle,132,72,1,11.0,72.0,8.480470221775962,0.483463757643074,2022
TU Deshpande,middle,335,204,8,9.852941176470587,25.5,8.727532704797447,30.065771034666078,2026
UT Yadav,middle,1172,872,37,8.064220183486238,23.56756756756757,7.97027699082866,704.2289755373273,2024
Umar Gul,middle,63,54,4,7.0,13.5,7.430865659494704,8.828042788821023,2008
Umran Malik,middle,526,390,24,8.092307692307692,16.25,7.911599229425952,298.4984364749416,2024
V Kohli,middle,296,225,4,7.8933333333333335,56.25,7.734013212414718,8.482012921143992,2016
V Nigam,middle,307,186,7,9.903225806451614,26.571428571428573,8.698912202661894,23.094841667504582,2026
V Pratap Singh,middle,87,66,3,7.909090909090908,22.0,7.640940801586902,4.82924825073065,2012
V Puthur,middle,85,60,6,8.5,10.0,7.77366882044777,18.987173676829997,2025
V Sehwag,middle,139,102,4,8.176470588235293,25.5,7.765271209475357,8.447869782056474,2013
V Shankar,middle,251,185,9,8.14054054054054,20.555555555555557,7.837593550563636,42.37269996938247,2022
V Viyaskanth,middle,90,60,1,9.0,60.0,7.8913158792713,0.5195584694271042,2024
VG Arora,middle,162,84,6,11.571428571428571,14.0,8.760880104710328,16.847622411890118,2026
VR Aaron,middle,524,402,15,7.82089552238806,26.8,7.732471606723922,119.30208695468367,2022
VR Iyer,middle,89,48,1,11.125,48.0,8.256319132568647,0.4965893316583121,2024
VRV Singh,middle,243,174,4,8.379310344827587,43.5,7.941153249902931,8.26076489593018,2010
VS Malik,middle,96,72,2,8.0,36.0,7.6714814577310175,2.1377878693133936,2014
VY Mahesh,middle,261,198,7,7.909090909090908,28.285714285714285,7.731006486550079,25.98626716321002,2012
Vijaykumar Vyshak,middle,393,264,13,8.931818181818182,20.307692307692307,8.344848691098434,83.03326107507809,2026
W O'Rourke,middle,48,24,2,12.0,12.0,8.037833558055622,2.040350783771045,2025
WA Mota,middle,48,48,3,6.0,16.0,7.243973453556302,5.093889456743465,2009
WD Parnell,middle,139,120,3,6.950000000000001,40.0,7.3215414260767675,5.039922313158691,2023
WG Jacks,middle,141,96,6,8.8125,16.0,7.966617007608871,18.527312140024815,2025
WPUJC Vaas,middle,53,36,1,8.833333333333334,36.0,7.750153892702084,0.5290217532145725,2010
Washington Sundar,middle,813,684,22,7.131578947368421,31.09090909090909,7.224443173167442,274.67860877781277,2026
XC Bartlett,middle,96,48,0,12.0,999.0,8.429158638741487,0.0,2026
Y Nagar,middle,105,60,4,10.5,15.0,8.244257055741889,7.957054171947669,2012
Y Venugopal Rao,middle,210,150,5,8.399999999999999,30.0,7.919668258591829,12.942461306861,2014
YA Abdulla,middle,85,66,2,7.727272727272727,33.0,7.594963790092649,2.1593256338355684,2010
YK Pathan,middle,889,714,26,7.470588235294118,27.46153846153846,7.487662870422642,370.15555427157693,2019
YS Chahal,middle,3651,2876,145,7.61682892906815,19.83448275862069,7.6125970528212905,11323.665156827477,2026
Yash Dayal,middle,279,205,9,8.165853658536586,22.77777777777778,7.865713873035454,42.221215437097946,2025
Yash Raj Punja,middle,44,36,3,7.333333333333334,12.0,7.51638765893585,4.909273134167244,2026
Yash Thakur,middle,241,154,5,9.38961038961039,30.8,8.36184971121542,12.25805336617337,2025
Yudhvir Singh,middle,70,36,1,11.666666666666666,36.0,8.191712334260526,0.5005058567367419,2025
Yuvraj Singh,middle,921,756,33,7.309523809523808,22.90909090909091,7.358870188448139,606.737160142999,2018
Z Khan,middle,412,301,15,8.21262458471761,20.066666666666666,7.952188607286656,116.00579985674706,2017
Zeeshan Ansari,middle,280,180,8,9.333333333333334,22.5,8.406094797904485,31.215446209982357,2025
