batter,phase,runs,balls,strike_rate,sr_bayes,impact_score,last_year
GJ Maxwell,middle,1776,1163,152.7085124677558,148.8401136353231,173101.05215788077,2025
Gurkeerat Singh,middle,225,223,100.89686098654708,112.49969932241322,25087.43294889815,2020
H Klaasen,middle,1050,676,155.32544378698225,148.70823687344284,100526.76812644736,2026
HC Brook,middle,54,44,122.72727272727273,125.20867914965994,5509.181882585038,2023
HH Gibbs,middle,367,344,106.6860465116279,113.58974826858763,39074.873404394144,2012
HH Pandya,middle,1207,900,134.11111111111111,132.62545599704907,119362.91039734417,2026
HM Amla,middle,194,156,124.35897435897436,125.14209207056616,19522.16636300832,2017
HR Shokeen,middle,42,43,97.67441860465115,120.6927492301207,5189.78821689519,2022
HV Patel,middle,67,76,88.1578947368421,115.22093843826097,8756.791321307834,2025
Harbhajan Singh,middle,146,139,105.03597122302158,117.14034226577463,16282.507574942674,2018
Harpreet Brar,middle,40,54,74.07407407407408,114.55772817979408,6186.117321708881,2025
Harpreet Singh,middle,43,52,82.6923076923077,116.69989601930659,6068.394593003943,2024
Harshit Rana,middle,29,21,138.0952380952381,126.96701072578114,2666.307225241404,2025
IK Pathan,middle,395,437,90.38901601830663,101.30518088096319,44270.36404498092,2017
IR Jaggi,middle,38,46,82.6086956521739,117.53059882476651,5406.40754593926,2017
Iqbal Abdulla,middle,17,24,70.83333333333334,119.74828455145538,2873.958829234929,2016
Ishan Kishan,middle,1513,1090,138.8073394495413,136.82869596635697,149143.2786033291,2026
J Botha,middle,204,183,111.47540983606557,118.84887385388552,21749.34391526105,2013
J Fraser-McGurk,middle,87,49,177.55102040816325,136.16751769167513,6672.208366892081,2025
J Overton,middle,47,30,156.66666666666666,129.8883302967499,3896.649908902497,2026
J Suchith,middle,14,30,46.666666666666664,115.22166363008324,3456.6499089024974,2022
JA Morkel,middle,320,266,120.30075187969925,122.61361023160245,32615.22032160625,2016
JA Richardson,middle,15,22,68.18181818181817,119.9302963906393,2638.4665205940646,2021
JC Archer,middle,45,37,121.62162162162163,125.10721688262383,4628.967024657081,2025
JC Buttler,middle,1860,1296,143.5185185185185,141.19709880400316,182991.4400499881,2026
JD Ryder,middle,119,104,114.42307692307692,121.82232212966129,12669.521501484774,2012
JD Unadkat,middle,23,28,82.14285714285714,120.29091621869385,3368.145654123428,2024
JDP Oram,middle,44,58,75.86206896551724,114.32756646944162,6630.998855227614,2011
JDS Neesham,middle,50,46,108.69565217391303,122.5098519367997,5635.4531890927865,2022
JEC Franklin,middle,151,140,107.85714285714285,118.28320691572756,16559.64896820186,2012
JH Kallis,middle,995,1010,98.51485148514851,102.92520690188276,103954.45897090159,2014
JJ Roy,middle,193,130,148.46153846153845,134.84576712851916,17529.94972670749,2023
JM Bairstow,middle,653,464,140.73275862068965,136.3048168691483,63245.43502728482,2025
JM Sharma,middle,589,418,140.9090909090909,136.0927802883666,56886.782160537245,2026
JO Holder,middle,73,58,125.86206896551724,125.790017062327,7295.820989614966,2023
JP Duminy,middle,911,876,103.99543378995433,107.95973325561971,94572.72633192287,2018
JP Faulkner,middle,74,86,86.04651162790698,113.61165237284246,9770.602104064452,2017
JP Inglis,middle,122,76,160.5263157894737,135.5161413902905,10299.226745662078,2025
JR Hopes,middle,187,127,147.24409448818898,134.2387401141886,17048.31999450195,2011
JR Philippe,middle,26,20,130.0,126.1622061245057,2523.244122490114,2020
