bowler,phase,runs,balls,wickets,economy,bowling_sr,econ_bayes,impact_score,last_year
T Stubbs,middle,63,30,3,12.600000000000001,10.0,8.243218074114893,4.476407110455112,2025
TA Boult,middle,545,378,17,8.650793650793652,22.235294117647058,8.283986154757159,143.03500487136372,2026
TU Deshpande,middle,352,216,9,9.777777777777777,24.0,8.731688726705233,38.033879859264374,2026
V Nigam,middle,341,198,7,10.333333333333334,28.285714285714285,8.963674469913107,22.41268362370008,2026
V Puthur,middle,85,60,6,8.5,10.0,7.791074771277846,18.944754649786464,2025
VG Arora,middle,188,102,6,11.058823529411764,17.0,8.770114702612291,16.829882504961475,2026
Vijaykumar Vyshak,middle,467,306,15,9.156862745098039,20.4,8.540367398554592,108.0164303184577,2026
W O'Rourke,middle,48,24,2,12.0,12.0,8.058100761076943,2.0352190281879996,2025
WG Jacks,middle,174,120,7,8.7,17.142857142857142,8.00229862436778,25.105286547072847,2026
Washington Sundar,middle,823,696,22,7.094827586206897,31.636363636363637,7.199465843631707,275.63155977124364,2026
XC Bartlett,middle,105,54,0,11.666666666666666,999.0,8.460739223597795,0.0,2026
YS Chahal,middle,3740,2936,148,7.643051771117166,19.83783783783784,7.638685425319659,11756.787326563042,2026
Yash Dayal,middle,279,205,9,8.165853658536586,22.77777777777778,7.876810166689626,42.16173717178347,2025
Yash Raj Punja,middle,144,108,6,8.0,18.0,7.725161936223929,19.106395596432904,2026
Yash Thakur,middle,247,160,5,9.2625,32.0,8.3344339906362,12.298375644364036,2026
Yudhvir Singh,middle,70,36,1,11.666666666666666,36.0,8.210926695566453,0.49933462470366746,2025
Zeeshan Ansari,middle,280,180,8,9.333333333333334,22.5,8.417930844468936,31.17155567658433,2025
