bowler,phase,runs,balls,wickets,economy,bowling_sr,econ_bayes,impact_score,last_year
HH Pandya,powerplay,690,432,13,9.583333333333334,33.23076923076923,8.952118391563824,77.40067430888378,2026
HR Shokeen,powerplay,66,54,2,7.333333333333334,27.0,7.505936672733004,2.184937165747304,2023
HV Patel,powerplay,582,390,15,8.953846153846154,26.0,8.487142276086354,108.69383003031133,2026
Harbhajan Singh,powerplay,906,773,32,7.032341526520052,24.15625,7.137374206105907,588.2275300079316,2021
Harmeet Singh,powerplay,136,96,6,8.5,16.0,7.865904575637518,18.76452969657813,2013
Harpreet Brar,powerplay,233,144,2,9.708333333333334,72.0,8.468962334839285,1.9364828123670266,2026
Harsh Dubey,powerplay,92,54,1,10.222222222222221,54.0,8.132442696829388,0.5041535677341416,2026
Harshit Rana,powerplay,464,294,17,9.46938775510204,17.294117647058822,8.705476956054229,136.10971644419328,2025
I Sharma,powerplay,1842,1521,60,7.266272189349112,25.35,7.298938363351118,2022.2118978441856,2025
I Udana,powerplay,101,54,2,11.222222222222223,27.0,8.349310166708905,1.9642341310293516,2020
IC Pandey,powerplay,303,264,12,6.886363636363637,22.0,7.169887214619864,82.34439152629014,2015
IK Pathan,powerplay,1054,918,32,6.888888888888889,28.6875,7.005371277188246,599.3115616400443,2017
Imran Tahir,powerplay,83,54,3,9.222222222222221,18.0,7.915575226949871,4.661695321190039,2020
Iqbal Abdulla,powerplay,287,276,15,6.239130434782608,18.4,6.7833932728461095,135.99388431343985,2017
J Botha,powerplay,251,192,4,7.84375,48.0,7.697618169277823,8.52211665445007,2015
J Little,powerplay,120,78,3,9.230769230769232,26.0,8.032887294910322,4.593616049285295,2024
J Overton,powerplay,71,30,0,14.2,999.0,8.439903251157856,0.0,2026
J Suchith,powerplay,100,72,3,8.333333333333332,24.0,7.76396341389707,4.752727187502071,2022
J Theron,powerplay,98,65,3,9.046153846153846,21.666666666666668,7.92683935196353,4.655071001389681,2015
J Yadav,powerplay,201,162,4,7.444444444444445,40.5,7.504140704511254,8.741840349630348,2023
JA Duffy,powerplay,83,48,5,10.375,9.6,8.111021528849868,12.63712587069589,2026
JA Morkel,powerplay,1242,900,35,8.28,25.714285714285715,8.150665051607778,616.207385311371,2016
JA Richardson,powerplay,53,30,0,10.6,999.0,7.959903251157857,0.0,2024
JC Archer,powerplay,735,666,33,6.621621621621622,20.181818181818183,6.832727330441949,653.4579508401376,2026
JD Unadkat,powerplay,1117,852,30,7.866197183098592,28.4,7.808002131337648,472.59208411202593,2026
JDP Oram,powerplay,168,108,4,9.333333333333334,27.0,8.188046968681578,8.011678517589496,2013
JDS Neesham,powerplay,66,36,1,11.0,36.0,8.090814855023886,0.5067474751883808,2022
JE Taylor,powerplay,48,48,0,6.0,999.0,7.24682399798567,0.0,2011
JH Kallis,powerplay,615,516,20,7.151162790697674,25.8,7.261572758805229,225.84639092287145,2014
JJ Bumrah,powerplay,1394,1252,46,6.680511182108626,27.217391304347824,6.798188135114388,1276.16356411031,2026
JJ van der Wath,powerplay,38,30,0,7.6,999.0,7.559903251157857,0.0,2011
JL Pattinson,powerplay,144,102,4,8.470588235294118,25.5,7.868613574109487,8.336919761296594,2020
JO Holder,powerplay,501,354,12,8.491525423728813,29.5,8.158430294190378,72.36686209360936,2026
JP Behrendorff,powerplay,332,240,11,8.3,21.818181818181817,7.965467198874754,62.28134365678911,2023
JP Duminy,powerplay,203,162,3,7.518518518518519,54.0,7.537754149889405,4.895357326099764,2018
JP Faulkner,powerplay,480,371,19,7.762803234501347,19.526315789473685,7.690774260619289,192.45136443269067,2017
JR Hazlewood,powerplay,739,570,28,7.778947368421052,20.357142857142858,7.721540171909173,416.290005418081,2026
JW Hastings,powerplay,47,36,1,7.833333333333334,36.0,7.597308361517393,0.5396648134973313,2016
Jaskaran Singh,powerplay,47,42,2,6.714285714285714,21.0,7.404971440972649,2.2147283255215156,2010
Joginder Sharma,powerplay,36,24,0,9.0,999.0,7.712229367627935,0.0,2011
K Gowtham,powerplay,388,270,10,8.622222222222224,27.0,8.174146734431222,50.15814045434172,2024
K Khejroliya,powerplay,64,30,0,12.8,999.0,8.25323658449119,0.0,2023
K Rabada,powerplay,1356,969,47,8.396284829721361,20.617021276595743,8.255135937723812,1097.123059913809,2026
K Upadhyay,powerplay,58,36,0,9.666666666666668,999.0,7.883022647231679,0.0,2013
KA Jamieson,powerplay,286,186,8,9.225806451612904,23.25,8.370021605014482,31.349978815203542,2026
KA Pollard,powerplay,57,36,1,9.5,36.0,7.857048621257653,0.521824440402117,2014
KC Cariappa,powerplay,64,36,0,10.666666666666666,999.0,8.038866803075836,0.0,2019
KH Pandya,powerplay,716,552,18,7.782608695652174,30.666666666666668,7.722862425047547,172.00876137474654,2026
KJ Abbott,powerplay,71,42,0,10.142857142857142,999.0,8.01256637768151,0.0,2016
KK Ahmed,powerplay,1338,978,39,8.208588957055216,25.076923076923077,8.09972568756225,769.9149626234886,2026
KK Cooper,powerplay,107,96,4,6.6875,24.0,7.267966431307621,9.025908501368452,2014
KL Nagarkoti,powerplay,44,30,0,8.799999999999999,999.0,7.719903251157857,0.0,2022
KM Asif,powerplay,68,42,3,9.714285714285715,14.0,7.936617010592903,4.649336102617783,2023
KMDN Kulasekara,powerplay,77,66,4,7.0,16.5,7.413709699274015,8.848471637137862,2012
KR Mayers,powerplay,39,36,0,6.5,999.0,7.389516153725186,0.0,2023
KR Sen,powerplay,64,42,2,9.142857142857142,21.0,7.835351187808092,2.093077847680728,2024
KT Maphaka,powerplay,82,42,2,11.714285714285714,21.0,8.291047390339738,1.9780371800923915,2025
KV Sharma,powerplay,187,156,7,7.192307692307692,22.285714285714285,7.393100374673839,27.1739851778846,2017
KW Richardson,powerplay,186,168,10,6.642857142857143,16.8,7.132171436668092,57.48599898932576,2021
Kamran Khan,powerplay,126,84,6,9.0,14.0,7.9891692885681636,18.475012190717166,2011
Kartik Tyagi,powerplay,313,186,7,10.096774193548388,26.571428571428573,8.795218455408184,22.84195679943191,2026
Kuldeep Yadav,powerplay,79,60,0,7.9,999.0,7.635208751021638,0.0,2024
L Balaji,powerplay,512,450,16,6.826666666666666,28.125,7.04647787831088,148.95384873493717,2014
L Ngidi,powerplay,268,204,11,7.882352941176471,18.545454545454547,7.721749953660445,64.2470946323284,2026
LB Williams,powerplay,46,24,0,11.5,999.0,7.986201970367661,0.0,2024
LE Plunkett,powerplay,70,42,1,10.0,42.0,7.987249921985307,0.5133181057368124,2018
LH Ferguson,powerplay,415,281,18,8.861209964412812,15.61111111111111,8.32558451998008,159.55636469872488,2026
LR Shukla,powerplay,50,26,0,11.538461538461538,999.0,8.022525934436732,0.0,2014
Lalit Yadav,powerplay,153,96,2,9.5625,48.0,8.216420039555043,1.9960031158397464,2024
M Ashwin,powerplay,134,90,2,8.933333333333334,45.0,7.989397303545676,2.052720546607654,2022
M Jansen,powerplay,666,474,19,8.430379746835442,24.94736842105263,8.174855353528427,181.05519131432214,2026
M Kartik,powerplay,205,179,8,6.871508379888268,22.375,7.2272145227553946,36.30721063748904,2014
M Morkel,powerplay,1032,906,37,6.8344370860927155,24.486486486486488,6.961833089473676,806.2388063406361,2016
M Muralitharan,powerplay,155,148,3,6.283783783783784,49.333333333333336,7.005767438806175,5.267088912430125,2014
M Ntini,powerplay,179,156,5,6.884615384615384,31.2,7.256348237921703,14.125562423304688,2008
M Prasidh Krishna,powerplay,817,618,19,7.932038834951456,32.526315789473685,7.841301637774315,188.7569268946161,2026
M Siddharth,powerplay,84,72,2,7.0,36.0,7.404412852099318,2.214895404616752,2026
M Theekshana,powerplay,444,312,10,8.538461538461538,31.2,8.159720377732777,50.246819868834855,2025
M de Lange,powerplay,73,60,2,7.299999999999999,30.0,7.494032280433403,2.188407974011494,2015
MA Starc,powerplay,882,623,29,8.49438202247191,21.482758620689655,8.270144537298922,416.933462825085,2026
MA Wood,powerplay,38,24,2,9.5,12.0,7.76702388817588,2.111490866529523,2023
MC Henriques,powerplay,273,203,9,8.068965517241379,22.555555555555557,7.816528219875672,42.48689324188,2021
MF Maharoof,powerplay,203,168,11,7.25,15.272727272727273,7.413163172205283,66.92150010403981,2010
MG Johnson,powerplay,788,621,28,7.613526570048309,22.178571428571427,7.599238028811909,422.9897771082912,2018
MJ Henry,powerplay,207,114,2,10.894736842105264,57.0,8.786337318804264,1.866534302627011,2026
MJ McClenaghan,powerplay,829,654,32,7.605504587155963,20.4375,7.59361393581922,552.8856267232744,2019
MJ Santner,powerplay,212,156,3,8.153846153846153,52.0,7.820450802024267,4.718398073733639,2026
MM Ali,powerplay,89,96,5,5.5625,19.2,6.896832410689065,14.861895127557432,2025
MM Patel,powerplay,763,654,30,7.0,21.8,7.12718284041286,517.7361213573479,2017
MM Sharma,powerplay,1146,858,38,8.013986013986013,22.57894736842105,7.92875425594541,746.6998987338475,2025
MN Samuels,powerplay,79,78,3,6.076923076923077,26.0,7.131788393811421,5.1740177866213495,2013
MP Stoinis,powerplay,239,159,9,9.018867924528303,17.666666666666668,8.21180291387152,40.44178890837856,2025
MP Yadav,powerplay,72,36,3,12.0,12.0,8.246659010868042,4.474539319665154,2025
MR Marsh,powerplay,152,106,6,8.60377358490566,17.666666666666668,7.923515719304045,18.628094551564075,2024
MS Gony,powerplay,702,486,18,8.666666666666666,27.0,8.347985655668895,159.1282082639803,2017
MW Short,powerplay,50,30,0,10.0,999.0,7.879903251157857,0.0,2026
Mohammad Asif,powerplay,143,90,3,9.533333333333333,30.0,8.178870987756202,4.511625144257614,2008
Mohammad Nabi,powerplay,179,168,7,6.392857142857142,24.0,7.016468957329249,28.632635763341366,2024
Mohammed Shami,powerplay,2014,1604,62,7.533665835411471,25.870967741935484,7.535841151478887,2091.392279003528,2026
Mohammed Siraj,powerplay,1801,1344,53,8.040178571428571,25.358490566037737,7.97854336030573,1443.4840396178136,2026
Mohsin Khan,powerplay,384,300,15,7.68,20.0,7.6302590535566015,120.90022023171102,2026
Mujeeb Ur Rahman,powerplay,167,140,5,7.157142857142857,28.0,7.387994720926918,13.87385939917673,2025
Mukesh Choudhary,powerplay,394,270,15,8.755555555555556,18.0,8.251566089269932,111.79695951288433,2026
Mukesh Kumar,powerplay,545,354,14,9.23728813559322,25.285714285714285,8.63930461113027,93.01674569556195,2026
Mustafizur Rahman,powerplay,546,462,17,7.090909090909092,27.176470588235293,7.228277369117989,163.92564085356676,2025
N Burger,powerplay,295,180,9,9.833333333333332,20.0,8.647941950694713,38.40220041871598,2026
N Rana,powerplay,62,37,0,10.054054054054054,999.0,7.952492377200508,0.0,2026
N Thushara,powerplay,140,96,7,8.75,13.714285714285714,7.948378802441641,25.275594557507258,2025
NB Singh,powerplay,17,24,1,4.25,24.0,7.191681422422456,0.5701031176404571,2017
NLTC Perera,powerplay,221,180,6,7.366666666666667,30.0,7.463941950694713,19.77507340960255,2016
NM Coulter-Nile,powerplay,422,360,15,7.033333333333333,24.0,7.2161769937126445,127.83777349194199,2021
NT Ellis,powerplay,120,102,4,7.0588235294117645,25.5,7.3837650892610025,8.88435631510123,2025
Navdeep Saini,powerplay,400,288,9,8.333333333333332,32.0,8.018588471036269,41.41626686536784,2026
Naveen-ul-Haq,powerplay,231,144,6,9.625,24.0,8.43356410475079,17.50149737011592,2024
Nithish Kumar Reddy,powerplay,102,60,2,10.2,30.0,8.176385221609873,2.005776337036497,2026
Noor Ahmad,powerplay,94,60,2,9.4,30.0,7.988149927492227,2.053041085715896,2026
O Thomas,powerplay,57,36,2,9.5,18.0,7.857048621257653,2.087297761608468,2019
P Awana,powerplay,353,270,14,7.844444444444444,19.285714285714285,7.722533831205414,104.05911033407097,2014
P Kumar,powerplay,1713,1572,44,6.5381679389312986,35.72727272727273,6.65024234946832,1193.5805618624713,2017
P Negi,powerplay,64,42,3,9.142857142857142,14.0,7.835351187808092,4.709425157281639,2018
P Parameswaran,powerplay,58,36,2,9.666666666666668,18.0,7.883022647231679,2.080420256785545,2012
P Suyal,powerplay,88,60,1,8.799999999999999,60.0,7.84697345690399,0.5224944397374893,2015
PJ Cummins,powerplay,1047,732,29,8.581967213114755,25.24137931034483,8.365672310151584,412.1724916018759,2026
PJ Sangwan,powerplay,491,354,16,8.322033898305085,22.125,8.04914067670404,130.399013032257,2022
PP Chawla,powerplay,562,437,20,7.716247139588101,21.85,7.666104796693857,213.92872175544466,2024
PP Hinge,powerplay,93,42,4,13.285714285714286,10.5,8.569528402997966,7.65503034881715,2026
PP Ojha,powerplay,321,240,7,8.024999999999999,34.285714285714285,7.813743060943719,25.711109059137137,2014
PV Tambe,powerplay,112,78,3,8.615384615384615,26.0,7.8570631190861455,4.696411297799505,2016
PVD Chameera,powerplay,311,204,7,9.147058823529411,29.142857142857142,8.368366495013829,24.00707475224745,2026
PWH de Silva,powerplay,99,60,4,9.899999999999999,15.0,8.105796986315756,8.092973474507962,2023
Pankaj Singh,powerplay,190,150,8,7.6,18.75,7.5738499464072975,34.645523988030824,2012
Parvez Rasool,powerplay,101,66,1,9.181818181818182,66.0,7.965433837205048,0.5147240042155229,2016
Prince Yadav,powerplay,123,97,6,7.608247422680412,16.166666666666668,7.571843258597663,19.493271976067835,2026
R Ashwin,powerplay,1455,1252,52,6.972843450479233,24.076923076923077,7.051125246379073,1572.2880551147691,2025
R Dhawan,powerplay,217,156,5,8.346153846153847,31.2,7.905920887494352,12.964966568554374,2024
R McLaren,powerplay,212,150,4,8.48,37.5,7.956458642059471,8.244874126941973,2013
R Rampaul,powerplay,158,162,10,5.851851851851852,16.2,6.781451628881002,60.45903184708751,2014
R Sharma,powerplay,101,90,2,6.733333333333333,45.0,7.2946604614404125,2.2482197885275714,2013
R Shepherd,powerplay,36,24,2,9.0,12.0,7.712229367627935,2.126492771187403,2024
R Shukla,powerplay,78,54,4,8.666666666666666,13.5,7.795093299239028,8.415550331694424,2014
R Vinay Kumar,powerplay,915,756,33,7.261904761904761,22.90909090909091,7.321743671409586,609.8137548074549,2018
RA Jadeja,powerplay,195,144,6,8.125,24.0,7.796395963157869,18.93182448627401,2025
RD Chahar,powerplay,94,72,3,7.833333333333334,24.0,7.629131953222913,4.836723263701273,2023
RE van der Merwe,powerplay,58,36,4,9.666666666666668,9.0,7.883022647231679,8.32168102714218,2013
RG Sharma,powerplay,64,50,2,7.68,25.0,7.579502985757216,2.1637302644800775,2013
RJ Gleeson,powerplay,38,24,1,9.5,24.0,7.76702388817588,0.5278727166323808,2025
RJ Harris,powerplay,454,426,14,6.394366197183099,30.428571428571427,6.75841905235188,118.90354737922814,2013
RJW Topley,powerplay,90,60,2,9.0,30.0,7.894032280433403,2.0775187404097615,2025
RP Meredith,powerplay,148,108,2,8.222222222222223,54.0,7.792007364721182,2.1047208033005793,2023
RP Singh,powerplay,1174,1002,35,7.02994011976048,28.62857142857143,7.115270034678796,705.8762317552338,2016
RR Powar,powerplay,159,132,5,7.2272727272727275,26.4,7.421951778319626,13.810383449191125,2012
Rashid Khan,powerplay,471,361,16,7.828254847645429,22.5625,7.731975236529708,135.74797744322382,2026
Rasikh Salam,powerplay,154,102,2,9.058823529411764,51.0,8.07063377612969,2.0320585043154686,2026
Ravi Bishnoi,powerplay,193,138,6,8.391304347826086,23.0,7.900835530061615,18.68156847948573,2026
S Aravind,powerplay,523,426,21,7.366197183098592,20.285714285714285,7.425085719018547,243.51234025066523,2017
S Badree,powerplay,187,156,7,7.192307692307692,22.285714285714285,7.393100374673839,27.1739851778846,2017
S Gopal,powerplay,151,114,8,7.947368421052631,14.25,7.698958678027565,34.08253128424707,2021
S Kaul,powerplay,525,348,13,9.051724137931034,26.76923076923077,8.513772065396902,81.38578231571411,2022
S Lamichhane,powerplay,104,72,5,8.666666666666666,14.4,7.853851054346508,13.050922317055408,2019
S Nadeem,powerplay,399,300,10,7.98,30.0,7.812077235374783,52.4828400496901,2021
S Narwal,powerplay,103,66,4,9.363636363636363,16.5,8.0114108486993,8.188320539153292,2013
S Sandeep Warrier,powerplay,200,138,8,8.695652173913043,17.25,8.02696165618774,32.68982851035844,2024
S Sreesanth,powerplay,660,570,29,6.947368421052632,19.655172413793103,7.101932328771919,485.51574985173824,2013
S Tyagi,powerplay,227,168,5,8.107142857142858,33.6,7.8098573870813155,13.124439400077968,2010
SA Abbott,powerplay,54,30,1,10.8,30.0,7.986569917824524,0.5133618114141303,2022
SB Jakati,powerplay,138,96,1,8.625,96.0,7.907141689039579,0.5185185951180288,2017
SB Styris,powerplay,42,42,1,6.0,42.0,7.278389162491637,0.5633114564866757,2008
SB Wagh,powerplay,118,90,4,7.866666666666667,22.5,7.652555198282518,8.57230014031428,2011
SE Bond,powerplay,93,90,4,6.200000000000001,22.5,7.126239408808836,9.20541624224847,2010
SH Johnson,powerplay,141,84,1,10.071428571428571,84.0,8.311749933729454,0.4932775928883539,2025
SJ Srivastava,powerplay,193,132,5,8.772727272727273,26.4,8.0458049893288,12.739558084734387,2011
SK Raina,powerplay,83,66,2,7.545454545454545,33.0,7.5516407337567735,2.1717134829640345,2017
