batter,phase,runs,balls,strike_rate,sr_bayes,impact_score,last_year
KA Pollard,powerplay,53,49,108.16326530612245,121.93976563969385,5975.0485163449985,2020
KC Sangakkara,powerplay,522,447,116.7785234899329,119.39766793782755,53370.757568208915,2013
KD Karthik,powerplay,397,405,98.0246913580247,106.92217136014214,43303.47940085757,2020
KH Pandya,powerplay,78,75,104.0,119.45667709661221,8959.250782245916,2026
KK Nair,powerplay,614,479,128.18371607515658,127.37878756095742,61014.4392416986,2026
KL Rahul,powerplay,2294,1794,127.8706800445931,127.62860875620177,228965.724108626,2026
KM Jadhav,powerplay,67,80,83.75,113.28473751303743,9062.779001042994,2020
KP Pietersen,powerplay,391,293,133.44709897610923,130.23217790181414,38158.02812523154,2016
KR Mayers,powerplay,276,200,138.0,131.7805134584438,26356.10269168876,2023
KS Bharat,powerplay,64,57,112.28070175438596,122.4337413336718,6978.723256019292,2022
KS Williamson,powerplay,483,480,100.62500000000001,107.78267083864488,51735.68200254954,2024
Kamran Akmal,powerplay,47,40,117.5,124.05660772802254,4962.264309120902,2008
L Ronchi,powerplay,34,34,100.0,121.63014330168251,4135.424872257206,2009
LA Carseldine,powerplay,38,34,111.76470588235294,123.3768681925122,4194.813518545415,2009
LA Pomersbach,powerplay,103,77,133.76623376623377,127.76949564737241,9838.251164847676,2013
LMP Simmons,powerplay,542,456,118.85964912280701,120.8192055546625,55093.5577329261,2017
LRPL Taylor,powerplay,155,121,128.099173553719,126.4345025825484,15298.574812488358,2014
LS Livingstone,powerplay,175,134,130.59701492537314,127.51763773886108,17087.363457007385,2026
Lalit Yadav,powerplay,25,31,80.64516129032258,119.26240184108539,3697.1344570736474,2023
M Kaif,powerplay,22,37,59.45945945945946,114.88492593140214,4250.742259461879,2008
M Klinger,powerplay,50,48,104.16666666666667,121.20700747360205,5817.936358732898,2011
M Manhas,powerplay,46,53,86.79245283018868,117.15041458098909,6208.971972792422,2011
M Shahrukh Khan,powerplay,23,21,109.52380952380953,123.85788340780228,2601.015551563848,2025
M Vijay,powerplay,1574,1374,114.55604075691413,115.90395335633224,159252.0319116005,2020
M Vohra,powerplay,691,540,127.96296296296296,127.28340519195278,68733.0388036545,2023
MA Agarwal,powerplay,1402,1150,121.91304347826086,122.41881250266565,140781.6343780655,2025
MC Henriques,powerplay,157,139,112.9496402877698,120.21946950923741,16710.506261784,2017
MD Mishra,powerplay,128,123,104.06504065040652,117.14875099397892,14409.296372259407,2012
MEK Hussey,powerplay,828,766,108.0939947780679,111.60593425190977,85490.14563696289,2015
MJ Clarke,powerplay,76,64,118.75,123.75792593083126,7920.507259573201,2012
MJ Guptill,powerplay,213,156,136.53846153846155,130.35129007431706,20334.80125159346,2019
MJ Lumb,powerplay,225,151,149.0066225165563,135.7031873297263,20491.18128678867,2011
MJ Santner,powerplay,20,24,83.33333333333334,120.7913370597502,2898.992089434005,2022
MK Lomror,powerplay,31,38,81.57894736842105,118.25451852397121,4493.671703910906,2023
MK Pandey,powerplay,1131,990,114.24242424242424,116.07873655365846,114917.94918812187,2023
MK Tiwary,powerplay,223,229,97.37991266375546,110.26722362284266,25251.19420963097,2018
ML Hayden,powerplay,593,457,129.75929978118162,128.45598591424127,58704.38556280826,2010
MM Ali,powerplay,233,191,121.98952879581151,123.71321973079093,23629.224968581068,2025
MN Samuels,powerplay,9,25,36.0,115.24228552766043,2881.0571381915106,2017
MN van Wyk,powerplay,28,25,112.00000000000001,123.87864916402407,3096.9662291006016,2009
MP Stoinis,powerplay,296,240,123.33333333333334,124.26046624387423,29822.511898529818,2025
MR Marsh,powerplay,647,442,146.38009049773754,139.95808919322653,61861.475423406126,2026
MS Bisla,powerplay,474,433,109.46882217090071,114.41608728676003,49542.16579516709,2015
MS Dhoni,powerplay,59,72,81.94444444444444,113.68278208271647,8185.160309955586,2022
MS Wade,powerplay,113,98,115.3061224489796,122.02492428698054,11958.442580124092,2022
MV Boucher,powerplay,22,24,91.66666666666666,121.70457906888264,2920.909897653183,2008
MW Short,powerplay,114,89,128.08988764044943,126.24402400030033,11235.71813602673,2026
Mandeep Singh,powerplay,633,552,114.67391304347827,117.47430095861486,64845.814129155406,2023
Mohammad Hafeez,powerplay,28,36,77.77777777777779,117.9796658704991,4247.2679713379675,2008
N Jagadeesan,powerplay,64,61,104.91803278688525,120.52071412533319,7351.763561645324,2023
N Pooran,powerplay,186,131,141.98473282442748,132.06534606161134,17300.560334071084,2026
N Rana,powerplay,772,632,122.15189873417722,122.91814125282382,77684.26527178465,2026
N Saini,powerplay,80,83,96.3855421686747,116.73849933843631,9689.295445090214,2012
N Wadhera,powerplay,53,45,117.77777777777779,123.97209506702207,5578.744278015993,2025
NJ Maddinson,powerplay,20,21,95.23809523809523,122.4689945189134,2571.8488848971815,2015
NK Patel,powerplay,45,55,81.81818181818183,115.81321126434119,6369.726619538766,2009
NV Ojha,powerplay,494,481,102.7027027027027,109.25044795278889,52549.465465291454,2016
Naman Dhir,powerplay,126,83,151.80722891566265,133.28526192836435,11062.676740054241,2026
Nithish Kumar Reddy,powerplay,72,80,90.0,115.10291933121925,9208.23354649754,2026
P Nissanka,powerplay,123,74,166.2162162162162,136.62937849845835,10110.574008885918,2026
P Simran Singh,powerplay,967,646,149.69040247678018,144.05862403815135,93061.87112864577,2026
PA Patel,powerplay,1900,1561,121.71684817424729,122.12602666064083,190638.72761726033,2019
PA Reddy,powerplay,103,104,99.03846153846155,116.2317819935963,12088.105327334015,2013
PBB Rajapaksa,powerplay,77,48,160.41666666666669,132.31811858471315,6351.269692066231,2023
PC Valthaty,powerplay,306,274,111.67883211678833,117.38444097246332,32163.33682645495,2013
PD Salt,powerplay,836,484,172.72727272727272,159.1359393462228,77021.79464357185,2026
PK Garg,powerplay,51,50,102.0,120.62572577993997,6031.286288996998,2023
PN Mankad,powerplay,45,37,121.62162162162163,124.79871903485041,4617.552604289465,2023
PP Shaw,powerplay,1345,917,146.67393675027262,142.94361764036447,131079.2973762142,2024
PR Shah,powerplay,30,31,96.7741935483871,121.47479122161636,3765.718527870107,2009
Priyansh Arya,powerplay,536,276,194.20289855072463,165.71826500230424,45738.24114063597,2026
Q de Kock,powerplay,1957,1498,130.64085447263017,130.03739091322225,194796.01158800695,2026
R Ashwin,powerplay,78,72,108.33333333333333,120.79888695163032,8697.519860517383,2025
R Dravid,powerplay,905,829,109.16767189384802,112.25908478133329,93062.7812837253,2013
R Parag,powerplay,148,112,132.14285714285714,127.86092122503354,14320.423177203756,2026
R Ravindra,powerplay,274,198,138.3838383838384,131.94224635136206,26124.56477756969,2025
RA Jadeja,powerplay,121,96,126.04166666666667,125.61272445390135,12058.82154757453,2026
RA Tripathi,powerplay,995,721,138.00277392510404,135.32019958087912,97565.86389781385,2025
RD Gaikwad,powerplay,1262,989,127.60364004044489,127.24096521628825,125841.31459890907,2026
RD Rickelton,powerplay,380,248,153.2258064516129,140.97811019432348,34962.57132819222,2026
RE Levi,powerplay,62,57,108.77192982456141,121.640090540021,6933.485160781197,2012
RE van der Merwe,powerplay,36,37,97.2972972972973,120.91940869002282,4474.018121530844,2013
RG Sharma,powerplay,2466,1961,125.75216726160123,125.72045585161655,246537.81392502005,2026
RJ Quiney,powerplay,65,71,91.54929577464789,116.36580006047103,8261.971804293444,2009
RK Singh,powerplay,36,27,133.33333333333331,126.3662289012851,3411.8881803346976,2025
RM Patidar,powerplay,210,179,117.31843575418995,121.53289523017459,21754.38824620125,2026
RR Pant,powerplay,469,390,120.25641025641025,121.97145780527401,47568.868544056866,2026
RR Rossouw,powerplay,139,99,140.4040404040404,130.45341093906563,12914.887682967497,2024
RR Sarwan,powerplay,45,40,112.5,123.2055438982353,4928.221755929412,2008
RS Bopara,powerplay,130,144,90.27777777777779,110.48171922149055,15909.367567894638,2010
RT Ponting,powerplay,45,75,60.0,107.23445487438998,8042.584115579249,2013
RV Uthappa,powerplay,2032,1632,124.50980392156863,124.60498238428315,203355.33125115008,2022
Rahmanullah Gurbaz,powerplay,246,194,126.8041237113402,126.10103551692877,24463.600890284182,2025
S Anirudha,powerplay,26,28,92.85714285714286,121.31525926495648,3396.8272594187815,2013
S Badrinath,powerplay,182,236,77.11864406779661,98.96357961968747,23355.40479024624,2013
S Chanderpaul,powerplay,25,31,80.64516129032258,119.26240184108539,3697.1344570736474,2008
S Dhawan,powerplay,3399,2771,122.66329844821364,122.84332529200448,340398.8543841444,2024
S Dube,powerplay,36,45,80.0,116.88876173368874,5259.994278015994,2025
S Rana,powerplay,20,22,90.9090909090909,121.90462127228247,2681.9016679902143,2014
S Sohal,powerplay,279,217,128.57142857142858,127.07112334001285,27574.43376478279,2011
S Vidyut,powerplay,103,76,135.5263157894737,128.24096980105276,9746.313704880009,2008
SA Asnodkar,powerplay,278,208,133.65384615384613,129.66080103246972,26969.446614753702,2011
SA Yadav,powerplay,973,695,140.0,136.80146383829808,95077.01736761717,2026
SC Ganguly,powerplay,529,517,102.32108317214701,108.64227923607486,56168.0583650507,2012
SD Hope,powerplay,78,60,130.0,126.48354045523644,7589.012427314186,2024
SE Marsh,powerplay,771,733,105.18417462482947,109.43243837940227,80213.97733210186,2017
SK Raina,powerplay,1551,1165,133.13304721030045,132.0244873647686,153808.52777995542,2021
SK Rasheed,powerplay,69,60,114.99999999999999,122.95412869053057,7377.247721431834,2025
SM Curran,powerplay,147,129,113.95348837209302,120.8435272101398,15588.815010108034,2025
SM Katich,powerplay,145,108,134.25925925925927,128.55875516859834,13884.34555820862,2009
SN Khan,powerplay,154,102,150.98039215686273,134.18620476796394,13686.992886332322,2026
SO Hetmyer,powerplay,68,64,106.25,120.66912284202817,7722.823861889803,2026
SP Fleming,powerplay,116,108,107.40740740740742,118.98779807288878,12850.682191871989,2008
SP Goswami,powerplay,162,165,98.18181818181819,112.9258411557925,18632.76379070576,2020
SP Narine,powerplay,1172,688,170.3488372093023,160.42276649613282,110370.86334933939,2026
SPD Smith,powerplay,506,414,122.22222222222223,123.24023450917126,51021.4570867969,2021
SR Tendulkar,powerplay,1140,977,116.68372569089047,118.13421741986798,115417.13041921101,2013
SR Watson,powerplay,1419,1257,112.88782816229117,114.56839036920474,144012.46669409034,2020
SS Iyer,powerplay,985,873,112.82932416953035,115.12481537086636,100503.96381876634,2026
SS Tiwary,powerplay,168,159,105.66037735849056,116.53475371775508,18529.025841123057,2021
ST Jayasuriya,powerplay,507,364,139.28571428571428,134.44240217546565,48937.03439186949,2010
STR Binny,powerplay,18,25,72.0,119.33319461856952,2983.329865464238,2017
SV Samson,powerplay,1477,1166,126.67238421955402,126.49030331821108,147487.6936690341,2026
SW Billings,powerplay,125,97,128.8659793814433,126.5524069044017,12275.583469726966,2022
Salman Butt,powerplay,103,97,106.18556701030928,119.01816032905923,11544.761551918746,2008
Sameer Rizvi,powerplay,18,31,58.06451612903226,116.16505670834201,3601.116757958602,2026
Shahbaz Ahmed,powerplay,21,26,80.76923076923077,120.15069147549909,3123.917978362976,2024
Shakib Al Hasan,powerplay,37,37,100.0,121.35044317278145,4489.966397392914,2018
Shashank Singh,powerplay,34,25,136.0,126.6059218912968,3165.14804728242,2024
Shubman Gill,powerplay,1819,1373,132.48361252731243,131.60287169393197,180690.7428357686,2026
T Banton,powerplay,18,20,90.0,122.1083851910944,2442.167703821888,2020
T Kohler-Cadmore,powerplay,47,51,92.15686274509804,118.50936104099713,6043.977413090854,2024
T Stubbs,powerplay,33,26,126.92307692307692,125.58055572889273,3265.0944489512112,2026
TD Paine,powerplay,10,26,38.46153846153847,115.1733159098882,2994.506213657093,2011
TL Seifert,powerplay,43,34,126.47058823529412,125.56027430604932,4269.049326405677,2026
TL Suman,powerplay,185,181,102.20994475138122,114.23750748958854,20676.988855615524,2013
TM Dilshan,powerplay,484,439,110.250569476082,114.91057226511876,50445.74122438714,2013
TM Head,powerplay,825,469,175.90618336886993,161.0742512290441,75543.82382642169,2026
Tanush Kotian,powerplay,18,20,90.0,122.1083851910944,2442.167703821888,2024
Tilak Varma,powerplay,161,130,123.84615384615385,124.77939328026244,16221.321126434117,2026
UBT Chand,powerplay,120,142,84.50704225352112,108.17003802992669,15360.14540024959,2016
UT Khawaja,powerplay,107,74,144.5945945945946,130.6814231081238,9670.425310001161,2016
Urvil Patel,powerplay,42,21,200.0,132.6541797040986,2785.7377737860706,2025
V Kohli,powerplay,3284,2569,127.8318411833398,127.66038452101493,327959.5278344874,2026
V Sehwag,powerplay,1586,1096,144.7080291970803,141.79186895126668,155403.88837058828,2015
V Shankar,powerplay,127,130,97.6923076923077,114.31785481872399,14861.321126434119,2025
V Suryavanshi,powerplay,369,168,219.64285714285717,169.01736312971155,28394.91700579154,2026
VH Zol,powerplay,22,21,104.76190476190477,123.39492044483933,2591.293329341626,2014
VR Iyer,powerplay,596,457,130.41575492341357,128.91610861362776,58914.66163642788,2025
VVS Laxman,powerplay,181,187,96.79144385026738,111.39608067038036,20831.067085361126,2011
Vishnu Vinod,powerplay,10,21,47.61904761904761,117.83936488928377,2474.6266626749593,2017
Vivrant Sharma,powerplay,27,24,112.5,123.98768409171367,2975.704418201128,2023
W Jaffer,powerplay,77,89,86.51685393258427,113.21585498621583,10076.211093773209,2009
WG Jacks,powerplay,190,128,148.4375,134.53034927580586,17219.88470730315,2025
WP Saha,powerplay,1385,1045,132.5358851674641,131.41395388393974,137327.58180871702,2024
Washington Sundar,powerplay,58,44,131.8181818181818,126.58285697106817,5569.645706726999,2026
Y Venugopal Rao,powerplay,76,96,79.16666666666666,110.14880692812817,10574.285465100304,2014
YBK Jaiswal,powerplay,1520,961,158.16857440166496,152.6412654118385,146688.2560607768,2026
YK Pathan,powerplay,360,243,148.14814814814815,138.0212393061308,33539.16115138979,2018
YV Takawale,powerplay,121,132,91.66666666666666,111.78380066081131,14755.461687227093,2014
Yashpal Singh,powerplay,17,35,48.57142857142857,113.7100122438491,3979.850428534719,2009
Yuvraj Singh,powerplay,193,186,103.76344086021506,114.83806513408214,21359.88011493928,2018
